Region,flow,type,area,material,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
17,inflow,detached,rural,steel,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,0.590490579,0.590490579,0.590490579,0.590490579,0.590490579,0.590519809
18,inflow,detached,rural,steel,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,0.590490579,0.590490579,0.590490579,0.590490579,0.590490579,0.590519809
19,inflow,detached,rural,steel,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,0.590490579,0.590490579,0.590490579,0.590490579,0.590490579,0.590519809
20,inflow,detached,rural,steel,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,0.590490579,0.590490579,0.590490579,0.590490579,0.590490579,0.590519809
21,inflow,detached,rural,steel,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,0.590490579,0.590490579,0.590490579,0.590490579,0.590490579,0.590519809
22,inflow,detached,rural,steel,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,0.590490579,0.590490579,0.590490579,0.590490579,0.590490579,0.590519809
23,inflow,detached,rural,steel,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,0.590490579,0.590490579,0.590490579,0.590490579,0.590490579,0.590519809
24,inflow,detached,rural,steel,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,0.590490579,0.590490579,0.590490579,0.590490579,0.590490579,0.590519809
25,inflow,detached,rural,steel,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,0.590490579,0.590490579,0.590490579,0.590490579,0.590490579,0.590519809
26,inflow,detached,rural,steel,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,5.90E-01,0.590490579,0.590490579,0.590490579,0.590490579,0.590490579,0.590519809
