Region,flow,type,area,material,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
11,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.01E+00
12,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.01E+00
13,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
14,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.01E+00
15,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
16,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
17,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
18,inflow,detached,rural,steel,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.28E+00
19,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
20,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
