Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
11,196428.52,188948.5795,190132.5167,191253.1232,192354.4453,193759.0033,191804.4432,192811.9962,193730.1618,194585.0244,195787.4954,196388.0817,197032.6788,197642.4913,198226.4948,198003.4207,199932.3073,200455.3221,200747.076,201323.3548,202224.0962,199874.9969,200689.47,201438.3718,201990.8813,202647.5954,197896.4356,198137.3773,198372.2152,198606.7597,199045.252,189703.6443,189996.8904,190285.8408,190542.3093,190868.3616,188922.6113,189073.8359,189246.625,189388.365,189784.4373
12,59993.70633,55800.58595,57020.40149,58218.11779,59389.3329,60576.65915,56871.96385,57807.12131,58605.89641,59324.62243,60090.6489,56003.69605,56500.11627,56959.96146,57383.6459,56981.26968,52918.40453,53226.04733,53499.3151,53766.11746,54102.59445,49806.35353,50140.55053,50440.27687,50645.32669,50836.24726,48174.42527,48249.54681,48296.51938,48311.99263,48339.14025,47984.59318,47944.97169,47894.70343,47831.38697,47756.45972,45415.89692,45285.0124,45136.47717,44978.18995,44855.51374
13,45249.93833,41201.24034,42210.63258,43192.96502,44184.36544,45167.82797,41409.31295,42222.28869,43025.0098,43825.34044,44684.68541,41590.23718,42332.1137,43037.0174,43730.05915,44488.28669,42769.86742,43429.39829,44082.59706,44737.67667,45473.00324,43030.42166,43606.81505,44175.48864,44730.52949,45313.48771,42801.66849,43298.26779,43783.87504,44258.92831,44763.13039,46371.20029,46753.84126,47112.67195,47463.00366,47797.16915,45604.18939,45854.40904,46082.9715,46296.94132,46540.10283
14,13647.08772,14294.51074,14456.25315,14773.64605,14497.54934,14731.65444,13972.75077,14036.76354,14079.27197,14039.92255,14010.34472,12865.12389,12700.66566,12506.46689,12325.08771,15599.17167,15339.47787,15841.67276,16236.0842,16603.57163,16978.5056,15881.85791,16248.26223,16585.60171,16849.47169,17079.87613,16117.56906,16265.64307,16398.90833,16507.37695,16582.66982,17450.60183,17627.85383,17805.10096,17977.93274,18152.7852,18707.41899,18877.10626,19039.39827,19196.47956,19375.55372
15,19447.66034,19922.79913,21015.1077,22199.70324,23497.6695,24893.40494,21884.34565,22924.12422,24017.83137,25171.77106,26431.51757,22864.14514,23777.33848,24747.44809,25764.16785,26003.9946,22711.07921,23420.20362,24245.42721,25110.69838,26065.79069,22995.76463,23775.01779,24551.36698,25309.07725,26072.48199,22537.46048,23088.14293,23641.21902,24206.13424,24755.8519,22208.237,22571.31292,22931.59685,23289.21803,23650.08708,22620.41665,22954.42593,23278.25914,23604.36155,23955.65114
16,66215.65669,60837.93706,62148.54425,63751.41947,65430.43488,67125.21147,63874.75207,65244.77051,66560.60371,67882.94896,69316.59822,61609.66121,62701.17459,63824.62961,64911.39813,65984.07543,58700.50039,59392.15808,60247.16703,61099.47263,62065.2812,54257.24894,54944.1038,55619.8787,56283.21513,56984.35534,51436.76752,52003.08879,52552.99827,53139.46086,53725.88122,53256.57448,53631.04957,53992.46289,54335.07819,54685.52244,59546.85011,59854.75647,60151.73108,60433.72001,60773.65947
17,153093.6318,146322.5903,148904.6781,151430.6034,153975.6677,156527.861,154612.8436,157121.9272,160069.2605,163283.4257,166933.2035,156239.6577,159443.7664,162916.5967,166438.1281,167983.6124,159532.9073,162740.7264,166184.8057,169707.2065,173497.6949,164889.4988,168186.1195,171560.0844,175069.219,178926.852,169783.5987,172991.3531,176400.5711,180236.2698,183967.3297,186851.0813,189798.9475,192708.228,195665.2039,198591.4861,192510.9482,195186.3028,197866.3817,200521.2442,203463.579
18,304485.1233,302602.7649,319575.3978,337732.8695,357103.4455,377712.0959,358793.4022,377159.3827,396577.2831,416949.5452,438496.7213,433698.2339,454314.9022,475831.8991,498514.3595,514996.5318,508036.2885,530280.4925,553548.4076,577824.7231,604321.0943,584936.4952,608643.5082,633091.6163,658277.7065,683989.1282,659598.2029,683437.3677,707872.7977,732866.7081,758258.644,751146.7051,774813.9051,798667.7757,822685.491,846966.3886,817576.1167,838911.3534,860187.6601,881199.4766,902047.2803
19,42379.70313,38207.93695,38684.57892,39037.55539,39369.63484,39664.83681,34114.30494,34357.01808,34659.86325,34945.71981,35263.39762,30474.48632,30647.48198,30791.45243,30915.2783,30660.46227,26574.04298,26623.80557,26668.19144,26698.54517,26767.68896,23082.1109,23035.05271,22995.32577,22940.55203,22890.92312,19713.98697,19606.70368,19493.07208,19392.87969,19219.31234,21553.00599,21328.22293,21095.64366,20853.42569,20607.76914,18395.42362,18184.70793,17976.85741,17757.41914,17547.05
20,1265529.403,1159438.182,1178699.306,1208516.013,1245508.555,1287277.386,1158456.412,1190009.414,1221154.028,1251353.014,1282419.686,1135183.311,1153919.325,1171305.322,1187431.1,1192346.89,1091613.116,1100619.931,1108320.651,1115057.32,1122086.002,1024993.083,1027611.385,1029851.179,1030395.446,1030749.577,935828.0748,933333.0429,930099.5212,925100.3552,923067.1536,824185.4796,818784.113,812843.4095,806526.7999,799774.83,755726.3938,748262.0858,740685.125,732838.1537,725039.3057
21,123320.9195,117996.2832,121509.193,125266.6382,129087.164,132962.9679,125205.8662,128440.3509,132322.3325,136375.7421,140768.1376,132539.3601,136397.2722,140403.9483,144310.9568,146769.6773,142377.0887,146358.4248,150575.3485,154972.4915,159813.2039,154660.1638,159181.6744,163818.1335,168522.001,173457.2766,167505.2119,171999.0131,176576.829,181274.1453,186221.0457,174303.3959,177662.9248,181015.6479,184333.494,187656.9721,180574.5858,183478.2495,186353.3743,189149.3439,192123.0976
22,57118.99248,54132.37794,56541.06753,59165.56555,61912.30133,64789.21594,58543.83271,60789.01134,63144.8277,65609.03824,68384.63568,61240.47077,63421.09729,65694.63728,68054.86062,71364.69548,64931.74498,67217.71613,69626.42191,72165.64458,74993.37172,68948.92144,71357.70508,74014.95998,76622.76623,79448.19239,73190.15573,75684.92759,78271.1439,81095.13354,84870.78825,92921.03402,95263.77641,97577.15745,99888.53699,102194.4091,96886.32243,98773.88593,100602.2295,102362.9338,104224.8649
23,55877.43284,55919.38657,55845.31204,55743.36607,55631.95542,55498.27037,52852.93243,52692.59163,52575.30413,52438.15199,52370.25645,48205.16142,48095.60577,47969.5952,47839.58263,47125.55494,45053.03086,44949.41682,44837.45031,44720.39104,44654.85095,44302.14956,44148.24362,43986.90825,43820.93038,43670.41201,43262.62517,43130.92587,42937.5784,42740.58896,42543.66349,42055.34535,41841.06814,41615.62033,41382.45775,41149.43952,41141.76629,40876.52322,40606.6554,40339.6199,40103.43202
24,21023.3206,19473.88222,19781.73527,20020.40315,20256.01917,20495.71155,19277.54999,19477.38532,19650.79396,19837.5153,20035.69572,19298.93719,19460.1672,19642.28657,19817.34758,20239.73338,19968.33488,20152.48061,20336.48628,20522.04845,20704.38308,20699.24469,20873.19778,21051.7383,21218.32082,21409.80914,20926.09646,21086.39252,21245.0219,21409.13162,21629.71526,22023.54082,22163.86382,22303.72675,22441.17967,22579.82788,21821.75716,21943.29636,22064.55754,22186.24429,22332.48657
25,87120.54185,89223.55888,91546.99251,93965.13038,96484.50048,99094.02487,97511.04215,100160.2661,102960.1836,105875.3268,109231.6307,107947.8488,111089.85,114373.4373,117804.9643,120617.797,121848.0788,125586.8951,129481.6566,133524.6579,137931.4802,137316.6131,141644.7825,146117.5726,150809.1459,155865.8521,154200.1026,159145.0377,164251.9633,169521.2403,175167.5744,185404.6659,192056.6267,198937.4959,206115.1048,213555.1085,213259.6791,220820.1628,228678.6598,236772.4776,245481.1309
26,28237.21379,27322.79238,27972.728,28646.23807,29338.32641,30062.27999,30404.74395,31119.11592,31861.08545,32621.65366,33463.23481,33928.61196,34781.50742,35623.85288,36494.98789,37577.60324,40717.89655,41927.63655,43178.66103,44482.54846,45843.54382,49553.85072,51305.83687,53133.55006,55044.62274,57158.40065,60976.83307,63403.74344,65944.84479,68602.00644,71527.03689,78740.89944,82457.83125,86358.95641,90464.01422,94862.07306,100351.7359,105240.4578,110374.3827,115735.6799,121553.552
