Region,Building_type,steel,concrete,wood,copper,aluminium,glass,brick_rural,brick_urban
20,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,460,236
20,Appartments,374.3,995.92,15.04,0.25,1.94,6.35,460,236
20,High-rise,128.95,295.01,61.89,0.01,3.43,1.97,460,236
21,Detached,32.63,846.33,53.07,1.73,3.56,2.68,373,241
21,Semi-detached,37.93,2729.51,54.65,0.01,0.23,1.07,373,241
21,Appartments,33.95,1164.02,11.26,0.31,0.44,0.78,373,241
21,High-rise,116.98,910.21,54.48,0.01,2.2,4.42,373,241
22,Detached,28.39,25.78,107.15,1.73,3.56,1.6,373,241
22,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,373,241
22,Appartments,97.36,995.92,37.17,0.31,1.94,6.35,373,241
22,High-rise,116.98,910.21,54.48,0.01,0.33,0.73,373,241
23,Detached,57.22,224.67,76,1.73,1.5,4,373,241
23,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,373,241
23,Appartments,97.36,995.92,37.17,0.31,1.94,6.35,373,241
23,High-rise,304.33,1871,18,0.01,2,2,373,241
24,Detached,21.05,627.84,67.25,1.14,1.9,1.06,373,241
24,Semi-detached,35.58,795.98,29.49,0.01,0.23,1.07,373,241
24,Appartments,49.41,701.25,37.17,0.01,1.94,6.35,373,241
24,High-rise,120.72,1136.39,176.66,0.01,2.2,7.3,373,241
25,Detached,32.63,846.33,34.04,1.73,3.56,2.68,373,241
25,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,373,241
25,Appartments,97.36,995.92,37.17,0.31,1.94,6.35,373,241
25,High-rise,116.98,910.21,54.48,0.01,2.2,4.42,373,241
26,Detached,32.63,846.33,53.07,1.73,3.56,2.68,373,241
26,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,373,241
26,Appartments,97.36,995.92,37.17,0.31,1.94,6.35,373,241
26,High-rise,116.98,910.21,54.48,0.01,2.2,4.42,373,241
